value,sentence
0,የኢትዮጵያ ችግር ሁሉ አስተዳደር እኮ ነው ።
0,የኢትዮጵያ ምርት ጥራቱ ጥሩ ቢሆንም ምርቱ አነስተኛ ነው ፡፡
1,አንድ ትውልድ መርዝ ሲረጩ ኖረዋል ፡፡
0,ግራ ያጋባን የፓርቲ አለቃችሁ ነው ።
1,የኢሬቻ በዓል ተሳታፊዎች መንግስትን ተቃወሙ ።
1,ደብረፅዮን ሁለት ድምፅ ብቻ ካገኘ እንደኛውን ድምፅ ማን ሰጠው ?
0,ወጣቱ የተገደለው በማንነቱ ምክንያት ነው ።
0,በጣም ቀጭን ከመሆኑ የተነሳ ሲሄድ እራሱ ንፋስ ወደ ነፈሰበት ነው ።
0,እንደት በታዛቢ ኮሚሽነሩና በአራተኛው ረዳት ዳኛ ጎሉ ሊሻር ቻለ ህጉ ይደግፋቸዋል መልሱ አይደግፋቸውም ነው ።
0,ከእኔ የሚፈሱ እንባወችም ይለወጣሉ ፣ እናም የሚሰማቸው ህመም ሊቋቋሙት የማይችሉት ።
1,የችግራችን ሁሉ አስኳል የደሞክራሲ እጦት ነው ብየ አምናለሁና ።
0,አንደዚህ አይነት መንግስት ነው ያለን : ?
1,ግልጽ ደብዳቤ ይድረስ ለአቶ ለማ መገርሳ የኦሮሞ ክልል ፕሬዚደንት ከፍቅሬ ቶሎሳ ጅግሳ (ፕሮፌሰር) ።
0,እኔስ የማውቀው ይሄን ነው ፤ እግዚአብሄር ለእኔስ መልካም ነው ፨
1,እና ምን ችግር አለው ታድያ ?
0,በቤኒሻንጉል ጉሙዝ ክልል የሚኖሩ የአማራ ተወላጆች በአካባቢው የመንግስት ታጣቂወች ተደጋጋሚ ግፍና በደል ሲደርስባቸው ቆይቷል ።
1,በፊት በፊት አልታዘዝም ብየ ከደብተሬ ጋር ስጣበቅ በመጠኑም ቢሆን ቅር ይላቸው ነበር ፤ በኋላ ላይ እንድያውም ያበረታቱኝ ጀመር ፡፡
0,የጉራጌ ማህበረስ0ብ ከሶማሌ ክልል ለተፈናቀሉ የኦሮሞ ተወላጆች ጊዜያዊ መጠለያ በማዘጋጀት ወገንተኛነቱን በተግባር አሳየ ።
1,ስለዚህ በትንሹ በ500 ሄክታር ብንጀምር አመቱን ሙሉ አርሶ ከስክሶ ዘርቶና ኬሚካል ረጭቶ ለመስራት ብዙ ይጠይቃል ፡፡
0,OMN : ልዩ ዝግጅት (ጥር 16 2017) ከአቶ ጀማል ድሪየ የሶማሌ ህዝብ የፍትህና ደሞክራሲ ንቅናቄ ሊቀመንበር ጋር የተደረገ ቃለምልልስ ።
0,ሳይመችህና ሳታደርገው ብቀር እንኳን ላንተ ያለኝ አክብሮት ትልቅ ነው ::
0,እንደት ነሽ በሉልኝ ፣ . የምታውቁ ቤቷን ።
0,አሁንም ሌላ ለውጥ እንዳይኖር !
0,የተባበሩት መንግስታት ድርጅት የጸጥታው ጥበቃ ምክር ቤት አባላት የልኡካን ቡድን የኢትዮጵያንና የኤርትራን የድንበር አካባቢወች ተዘዋውሮ ለመጎብኘትና ከየአገሮቹ መሪወች ጋር የአልጀርሱ የሰላም ስምምነትተግባራዊ በሚሆንበት ሁኔታ ላይ ለመወያየት አድስ አበባ የገባው ባለፈው አርብ ነበር ።
1,መሰረት መሆን ያለበት የሻጭና የገዥ ፍላጎት ነው ፡፡
0,ሙደኛ ታድያ መቀሌ ላይ ሰባዊ መብት ጥሰት ለተፈጸመው ህውሃትን ተቃውሞ ህዝብ ለምን አይወጣም ?
1,እችን አንዳንድ የፌስቡክ ማህበረ ሰብ አባላት ይጠይቁኛል ተጠይቄ ነው ምናምን እያሉ ሲያወሩ ኢቲቪን ይመስሉኛል ፡፡
0,በውጤቱም አመጽ ስለሚንጸባረቅበት ጨዋታ እንድያስቡ የተነገራቸው ወንዶች ይበልጥ ብስጩ እንደሆኑ ታይቷል ።
1,አሳዘኝ እና ዘግናኝ ሪፖርት ሰምተን ችግር የምያወራ መግለጨ መስማት በእውነቱ ያሳዝናል ።
0,የመግለጫው ሙሉ ቃል እንደሚከተለው ቀርቧል ፦ የተከበራችሁ የሃገሬ ህዝቦች !
1,የአሜሪካ ጉዞና ቆይታአቶ ጌትነት አለም በ1991 አ.ም በአጋጣሚ የሞሉት የአሜሪካ መግቢያ እጣ(ድቪ) እድለኛ አደረጋቸው ።
0,የአዳማ ከተማ ወጣቶች ፌደሬሽን ፕሬዘዳንት ወጣት ለማ መገርሳ በበኩሉ መንግስት የወጣቶችን ተጠቃሚነት ለማረጋገጥ የትምህርት እድል በሁሉም አካባቢወች ከማስፋፋት ጀምሮ በርካታ ተግባራት ማከናወኑን ገልጿል ፡፡
1,የእስልምና እምብርት ትግራይ ነው : መልካም ጠባይ ያሳየ የትግራይ ህዝብ ነው: ሊመሰገን ይገባል ።
0,ክፉ ከማሰብ ልብን መከልከል ታላቅ ጾም ነው ፡፡
1,በክርስቲያን ጉባኤ ውስጥ ፍቅራዊ ድጋፍ ማግኘት የምትችልበትን ዝግጅት አድርጓል ።
0,በጌታ ምሽግ ሲቆፉሩ አይደል እንደ የኖሩት ?
1,ስለዚህ ዛሬ ቀን ተቀይሮ ኦህደድ ባለ ወንበር ሲሆን ህወሃቶች ደግሞ ወደ ትውልድ ቀያቸው አቅንተው ትግራይ ክልል ደግሞ በተራው ለኦህደድ ዙፋን የማይመች ሁከተኛ ቀጠና(Restive political zone) ሊያደርጉት ሊመኙ ይችላሉ ፡፡
1,አለ አንተ አልህ አለው አሳልፎ የሚሰጠውም የምስመው እርሱ ነው ያዙት ብሎ ምልክ ።
1,ከኋላው ለማለፍ የፈለገው ሰውየ ትእግስቱ እያለቀ መጥቷል ፡፡
0,በተለይ በሃገር ፍቅር ቴአትር ረዥም አመታት አገልግላለች ።
0,የምስራቅ አፍሪካ ቀጣናዊ ትብብርና ውጥረት ውስጥ ያለችው የኢትዮጵያ ሚና ሆራይዘን ሚድያ የካቲት 27 ፣ 2011 . የአፍሪካ አገሮች ዋነኛ ትኩረት የነበረው፣ አሃጉራዊ ውህደትን ።
0,ውድ ጏደኞቸ እንኳን ለደብረ ታቦር አደረሳችሁ በአሉን የሰላም ያድርግልን አሜን ።
0,ቀውስ ባልራቃት ደቡብ ሱዳን የነፃነት በአል አውድዮውን ያዳምጡ ።
0,ብዙ ተንኮለኛ ሰው አለ ሰው ማጣላት የሚፈልግ ፤ እኛ ግን በግ አይደለን ዝም ብለን የምንነዳ ?
1,በእርግጥም ይሄ ሃሳባዊ ስጋት አይደለም ፤ በአሁኑ ሰአት በኢህአደግ በኩልም በአንዳንድ ጽንፈኛ ሃይሎችም ተደቅኖበት ያለ ስጋት ነው ።
0,የሁለቱ ግለሰቦች ተምሳሌታዊ ተግባር የግድባችንን ኢትዮጵያዊነት በተጨባጭ መስካሪ ነው ።
1,ከመርከብ በፊት ከመወርወርወ በፊት ሉቃብጠይ ንዱንአ ንችታለሁከ ይአ እርሱ ሁሉን ነገር ነበር ምልችትአ ትጣምማ ንችኞደጓ ህአ ።
1,እንደሃይሌ ባይሆንም አትሌት ደራርቱ ቱሉም እንድሁ እግሯ ላይ ታማ ነበር ።
0,ከባንዳ ጋር ለመደራደር ስትጃጃል ሁለት ነገር ይዞ ይጠብቅሃል ።
